SUBMISSION,INDEX,vaucher,type,extblank,pcrblank,site,lat ,lon,habitat,amphibian species,sex,age,weight,SVL,extract,date
MIN_N_001A,P7-09;P5-02,VAM01A,sample,,,Mindelo,41.326716,-8.735426,DECIDUOUS,Pelobates cultripes,,,,,MIN_N_001A,25-06-2021
MIN_N_001B,P7-09;P5-13,VAM01B,sample,,,Mindelo,41.326716,-8.735426,DECIDUOUS,Pelobates cultripes,,,,,MIN_N_001B,25-06-2021
MIN_N_002,P7-09;P5-22,VAM02,sample,,,Mindelo,41.325065,-8.736279,DECIDUOUS,Pelobates cultripes,,,,,MIN_N_002,25-06-2021
MIN_N_003,P7-09;P5-28,VAM03,sample,,,Mindelo,41.324607,-8.736932,DECIDUOUS,Pelobates cultripes,,,,,MIN_N_003,25-06-2021
MIN_N_004,P7-09;P5-34,VAM04,sample,,,Mindelo,41.324416,-8.737275,DECIDUOUS,Pelobates cultripes,,,,,MIN_N_004,25-06-2021
MIN_N_005,P7-09;P5-37,VAM05,sample,,,Mindelo,41.32439,-8.737169,DECIDUOUS,Pelobates cultripes,,,,,MIN_N_005,25-06-2021
MIN_N_008,P7-09;P5-40,VAM08,sample,,,Mindelo,41.32522,-8.736125,DECIDUOUS,Pelobates cultripes,,,,,MIN_N_008,25-06-2021
MIN_N_015A,P7-09;P5-45,VAM15A,sample,,,Mindelo,41.325042,-8.736255,DECIDUOUS,Pelobates cultripes,,,,,MIN_N_015A,25-06-2021
MIN_N_015B,P7-18;P5-02,VAM15B,sample,,,Mindelo,41.325042,-8.736255,DECIDUOUS,Pelobates cultripes,,,,,MIN_N_015B,25-06-2021
MIN_N_020A,P7-18;P5-13,VAM20A,sample,,,Mindelo,41.326851,-8.735679,DECIDUOUS,Pelobates cultripes,,,,,MIN_N_020A,25-06-2021
MIN_N_020B,P7-18;P5-22,VAM20B,sample,,,Mindelo,41.326851,-8.735679,DECIDUOUS,Pelobates cultripes,,,,,MIN_N_020B,25-06-2021
MIN_N_021,P7-18;P5-28,VAM21,sample,,,Mindelo,41.325855,-8.735377,DECIDUOUS,Pelobates cultripes,,,,,MIN_N_021,25-06-2021
MIN_N_023,P7-18;P5-34,VAM23,sample,,,Mindelo,41.325305,-8.735237,DECIDUOUS,Pelobates cultripes,,,,,MIN_N_023,25-06-2021
MIN_N_024,P7-18;P5-37,VAM24,sample,,,Mindelo,41.325386,-8.734952,DECIDUOUS,Pelobates cultripes,,,,,MIN_N_024,25-06-2021
MIN_N_025A,P7-18;P5-40,VAM25A,sample,,,Mindelo,41.324663,-8.736831,DECIDUOUS,Pelobates cultripes,,,,,MIN_N_025A,25-06-2021
GVA9624,P7-57;P5-13,GVA9624,sample,,,Ermelo-Rego Frades,42.3186362933757,-8.76640730711228,DECIDUOUS,Salamandra salamandra,female,adult,25.6,106.16,GVA9624_F,07-07-2021
CAS_E_001,P7-57;P5-45,LAGO_EU_1,sample,,,Lago de Castinheiras,,,EUCALYPT,Salamandra salamandra,,,,,LAG_E_001,07-07-2021
