otu,Phylum,Class,Order,Family,Genus,Species,Subspecies,Similarity,Status,Process ID
otu1,Arthropoda,Diplopoda,Glomerida,Glomeridae,Glomeris,occidentalis,,97.33,Private,
,Arthropoda,Diplopoda,Glomerida,Glomeridae,Glomeris,occidentalis,,96.05,Private,
,Arthropoda,Diplopoda,Glomerida,Glomeridae,Glomeris,ornata,,94.79,Private,
,Arthropoda,Insecta,Coleoptera,Ptilodactylidae,,,,93.59,Published,GMCDO998-17
,Arthropoda,Insecta,Orthoptera,Tettigoniidae,Eurycorypha,varia,,92.31,Published,GBMH4343-08
,Arthropoda,Insecta,Orthoptera,Acrididae,Ognevia,longipennis,,92.31,Published,GBMIN88950-17
,Arthropoda,Diplopoda,Glomerida,Glomeridae,Glomeris,malmivaga,,91.95,Private,
,Arthropoda,Diplopoda,Glomerida,Glomeridae,Glomeris,malmivaga,,91.86,Published,MYFAB021-10
,Arthropoda,Insecta,Hemiptera,Scutelleridae,Chrysocoris,purpureus,,91.67,Private,
,Arthropoda,Diplopoda,Glomerida,Glomeridae,Glomeris,klugii,,91.53,Private,
,Arthropoda,Diplopoda,Glomerida,Glomeridae,Glomeris,ornata,,91.53,Private,
,Arthropoda,Diplopoda,Glomerida,Glomeridae,Glomeris,klugii,,91.5,Private,
,Arthropoda,Insecta,Coleoptera,Ptilodactylidae,,,,91.36,Published,GMCCZ1458-18
,Arthropoda,Diplopoda,Glomerida,Glomeridellidae,Rhopalomeris,sp. n. 1 ADN-2020,,91.07,Published,GBMNC70219-20
,Arthropoda,Diplopoda,Glomerida,Glomeridae,Glomeris,connexa,,91.06,Private,
,Arthropoda,Branchiopoda,Anomopoda,Daphniidae,Ceriodaphnia,dubia,,91.03,Published,GBCB2373-13
,Arthropoda,Branchiopoda,Anomopoda,Daphniidae,Ceriodaphnia,dubia,,91.03,Published,GBCB2374-13
,Arthropoda,Branchiopoda,Anomopoda,Daphniidae,Ceriodaphnia,dubia,,91.03,Published,ZPII915-11
,Arthropoda,Branchiopoda,Anomopoda,Daphniidae,Ceriodaphnia,dubia,,91.03,Published,ZPII940-11
,Arthropoda,Insecta,Orthoptera,Dericorythidae,Conophyma,sp. 2 ISS-2016,,91.03,Published,GBMIN89781-17
otu10,Annelida,Clitellata,Haplotaxida,Lumbricidae,Lumbricus,,,97.74,Published,ECANN050-10
,Annelida,Clitellata,Haplotaxida,Lumbricidae,Lumbricus,,,97.74,Published,ECANN051-10
,Annelida,Clitellata,Haplotaxida,Lumbricidae,Lumbricus,,,97.74,Published,ECANN053-10
,Annelida,Clitellata,Haplotaxida,Lumbricidae,Lumbricus,,,97.74,Published,SSBRB4470-14
,Annelida,Clitellata,Haplotaxida,Lumbricidae,Lumbricus,rubellus L3,,97.13,Published,EWNOR278-08
,Annelida,Clitellata,Haplotaxida,Lumbricidae,Lumbricus,rubellus L3,,96.86,Published,EWNOR277-08
,Annelida,Clitellata,Haplotaxida,Lumbricidae,Lumbricus,rubellus L3,,96.61,Published,EWNOR284-08
,Annelida,Clitellata,Haplotaxida,Lumbricidae,Lumbricus,rubellus L3,,96.61,Published,EWNOR293-08
,Annelida,Clitellata,Haplotaxida,,,,,92.16,Private,
,Annelida,Clitellata,Haplotaxida,Lumbricidae,Lumbricus,rubellus,,92.09,Published,GBMIN1658-12
,Annelida,Clitellata,Haplotaxida,Lumbricidae,Lumbricus,rubellus,,92.09,Published,ANNCA033-10
,Annelida,Clitellata,Haplotaxida,Lumbricidae,Lumbricus,rubellus,,92.09,Published,ANNCA066-10
,Annelida,Clitellata,Haplotaxida,Lumbricidae,Lumbricus,rubellus,,92.09,Published,ANNCA067-10
,Annelida,Clitellata,Haplotaxida,Lumbricidae,Lumbricus,rubellus,,92.09,Published,ANCN054-09
,Annelida,Clitellata,Haplotaxida,Lumbricidae,Lumbricus,rubellus,,92.09,Published,ANCN048-09
,Annelida,Clitellata,Haplotaxida,Lumbricidae,Lumbricus,rubellus,,92.09,Published,RBNII425-13
,Annelida,Clitellata,Haplotaxida,Lumbricidae,Lumbricus,rubellus,,92.09,Published,RBNII430-13
,Annelida,Clitellata,Haplotaxida,Lumbricidae,Lumbricus,rubellus,,92.09,Published,SSJAC2581-14
,Annelida,Clitellata,Haplotaxida,Lumbricidae,Lumbricus,rubellus,,92.09,Published,RBNII400-13
,Annelida,Clitellata,Haplotaxida,Lumbricidae,Lumbricus,rubellus,,92.09,Published,RBNII401-13
otu100,Annelida,Polychaeta,Terebellida,Flabelligeridae,Diplocirrus,nicolaji,,87.18,Published,GBAN15692-19
