You searched for,Phylum,Class,Order,Family,Genus,Species,Subspecies,Similarity,Status,Process ID
>otu1,Chordata,Amphibia,Anura,Pelobatidae,Pelobates,cultripes,,100,Early-Release,
,Chordata,Amphibia,Anura,Pelobatidae,Pelobates,cultripes,,100,Early-Release,
,Chordata,Amphibia,Anura,Pelobatidae,Pelobates,cultripes,,100,Early-Release,
,Chordata,Amphibia,Anura,Pelobatidae,Pelobates,cultripes,,100,Early-Release,
,Chordata,Amphibia,Anura,Pelobatidae,Pelobates,cultripes,,100,Published,GBMTG818-16
,Chordata,Amphibia,Anura,Pelobatidae,Pelobates,cultripes,,100,Published,GBMNA14045-19
,Chordata,Amphibia,Anura,Pelobatidae,Pelobates,cultripes,,99.68,Early-Release,
,Chordata,Amphibia,Anura,Pelobatidae,Pelobates,cultripes,,99.35,Early-Release,
,Chordata,Amphibia,Anura,Pelobatidae,Pelobates,cultripes,,99.35,Early-Release,
,Chordata,Amphibia,Anura,Pelobatidae,Pelobates,cultripes,,99.35,Early-Release,
,Chordata,Amphibia,Anura,Pelobatidae,Pelobates,cultripes,,99.35,Early-Release,
,Chordata,Amphibia,Anura,Pelobatidae,Pelobates,cultripes,,99.35,Early-Release,
,Chordata,Amphibia,Anura,Pelobatidae,Pelobates,cultripes,,99.35,Early-Release,
,Chordata,Amphibia,Anura,Pelobatidae,Pelobates,cultripes,,99.35,Early-Release,
,Chordata,Amphibia,Anura,Pelobatidae,Pelobates,cultripes,,99.35,Early-Release,
,Chordata,Amphibia,Anura,Pelobatidae,Pelobates,cultripes,,99.35,Early-Release,
,Chordata,Amphibia,Anura,Pelobatidae,Pelobates,varaldii,,90.69,Early-Release,
,Chordata,Amphibia,Anura,Pelobatidae,Pelobates,varaldii,,90.29,Published,IMSAM041-09
,Chordata,Amphibia,Anura,Pelobatidae,Pelobates,varaldii,,89.97,Published,IMSAM044-09
,Chordata,Amphibia,Anura,Pelobatidae,Pelobates,varaldii,,89.97,Early-Release,
>otu10,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Flavobacterium,sp.,,75.34,Published,GBBAC1905-15
,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Flavobacterium,johnsoniae,,74.43,Private,
,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Flavobacterium,johnsoniae,,74.43,Published,GBBAC1909-15
,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Flavobacterium,reichenbachii,,73.97,Published,GBBAC1907-15
,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Flavobacterium,sp.,,73.97,Published,GBBAC1901-15
,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,Flavobacterium,sp.,,71.69,Published,GBBAC1911-15
